"peak","THL60-Rep1","THL60-Rep2","THL60-Rep3","T3h-Neu-Rep1","T3h-Neu-Rep2","T3h-Neu-Rep3","T6h-Neu-Rep1","T6h-Neu-Rep2","T6h-Neu-Rep3","T12h-Neu-Rep1","T12h-Neu-Rep2","T12h-Neu-Rep3"
"chr8_3096998_3097534",17,11,5,0,4,7,4,10,0,2,0,7
"chr8_3536294_3536921",14,15,5,0,6,14,7,11,0,2,0,13
"chr8_3584871_3585392",18,6,3,1,5,12,10,9,0,2,0,12
"chr8_3750807_3751317",37,16,8,0,5,9,6,16,0,4,0,17
"chr8_3812529_3813156",131,88,31,2,11,26,10,17,2,3,0,14
"chr8_4234442_4234970",20,10,5,0,6,13,8,6,0,2,0,14
"chr8_4243111_4243703",27,17,8,0,5,11,7,12,0,4,0,7
"chr8_4833776_4834408",18,9,6,0,7,6,4,8,1,2,0,6
"chr8_5519160_5519689",63,45,17,0,6,11,9,15,0,2,0,15
"chr8_6074196_6074867",37,26,7,0,9,18,11,11,0,5,0,23
"chr8_6076562_6077110",15,9,4,1,5,15,5,8,1,0,0,11
"chr8_6139867_6140420",19,9,5,1,5,12,8,10,0,2,0,13
"chr8_6291200_6292373",99,55,22,3,11,34,15,38,1,7,1,44
"chr8_6387387_6388014",54,41,12,0,9,17,16,15,0,4,0,21
"chr8_6405933_6406915",43,32,16,2,12,29,16,26,2,7,0,31
"chr8_6411093_6411344",8,6,4,1,4,6,2,4,0,0,0,4
"chr8_6428334_6429258",35,24,11,0,6,17,5,13,0,2,1,17
"chr8_6707821_6709319",149,146,51,5,59,112,57,94,2,14,2,134
"chr8_6765106_6765763",10,6,5,1,6,10,2,9,0,1,0,7
"chr8_6835207_6835777",10,6,5,1,5,12,2,5,0,1,0,6
"chr8_6840494_6841132",11,9,5,4,9,12,4,7,1,1,0,15
"chr8_7035697_7036200",6,7,4,0,5,13,3,5,0,2,1,11
"chr8_7041892_7042693",29,23,10,0,7,24,3,14,0,4,1,20
"chr8_7783732_7784274",26,13,8,1,10,23,8,13,1,1,0,13
"chr8_8227805_8228917",60,34,23,0,24,32,22,48,1,9,1,65
"chr8_8244343_8244933",30,25,13,0,18,19,9,22,2,4,1,28
"chr8_8310342_8310971",16,8,7,2,11,22,6,8,1,0,1,14
"chr8_8346155_8346711",21,23,6,2,9,18,5,15,0,2,0,16
"chr8_8385932_8386648",13,13,7,0,13,21,4,10,0,2,0,14
"chr8_8796998_8797701",20,6,4,1,7,14,4,8,1,2,0,18
"chr8_9002492_9003200",60,43,23,0,20,46,17,43,0,10,0,60
"chr8_9087770_9089273",59,35,21,3,24,41,12,31,0,6,0,44
"chr8_9150507_9151353",27,26,13,1,20,31,8,15,1,4,0,25
"chr8_9555535_9556339",58,40,13,0,28,51,21,70,1,9,2,57
"chr8_9608368_9609082",7,9,5,0,5,10,4,6,0,0,0,10
"chr8_9614771_9615398",33,23,8,0,10,23,6,11,0,3,0,15
"chr8_9899128_9899753",22,17,7,2,9,18,6,19,1,3,0,16
"chr8_10053863_10055122",56,41,18,0,23,36,20,32,1,7,3,59
"chr8_10080606_10081254",31,19,7,1,8,18,3,10,0,3,0,13
"chr8_10631504_10632351",19,13,7,0,12,18,3,14,0,4,0,15
"chr8_10711016_10711594",12,12,4,3,8,18,5,9,1,4,0,13
"chr8_10839410_10840274",84,46,35,0,31,52,30,56,0,11,1,75
"chr8_11284209_11284996",59,46,24,1,25,41,13,38,1,6,1,61
"chr8_11769373_11769966",32,18,14,0,10,26,9,24,0,6,1,33
"chr8_11783152_11783759",10,9,7,0,9,19,5,8,0,3,0,10
"chr8_11796374_11797039",14,15,6,0,8,18,5,14,0,3,0,19
"chr8_11802238_11802821",83,63,34,0,36,58,40,60,0,9,1,75
"chr8_11858556_11859167",26,13,8,0,9,14,4,14,0,1,1,19
"chr8_11877591_11878140",17,11,7,0,8,13,4,8,0,2,0,12
"chr8_11902129_11902745",8,6,5,0,14,22,11,9,0,4,0,19
"chr8_12194028_12194902",43,27,12,1,14,20,15,25,0,5,0,30
"chr8_12436119_12437056",17,11,6,0,3,6,5,11,0,1,0,20
"chr8_12601234_12601737",15,10,4,1,14,16,4,7,0,2,0,15
"chr8_12731829_12732404",22,17,4,2,7,13,5,14,0,6,0,31
"chr8_12753821_12754638",42,45,22,1,15,21,16,30,0,4,1,35
"chr8_12755220_12755986",43,37,22,0,16,28,22,32,0,4,0,36
"chr8_13366661_13367238",15,10,6,0,5,5,4,4,1,1,0,7
"chr8_13544707_13545219",20,6,4,1,3,7,6,5,0,0,0,6
"chr8_13566449_13567103",32,10,6,0,4,12,7,11,0,5,1,17
"chr8_14655553_14656143",56,36,7,1,8,15,11,21,0,1,0,16
"chr8_14860095_14860598",33,15,3,0,4,6,11,11,1,4,0,13
"chr8_14999287_14999903",46,19,7,0,9,14,16,19,1,5,0,26
"chr8_15378210_15378837",41,12,5,1,3,7,12,11,1,2,0,17
"chr8_15644014_15644519",27,10,3,0,2,6,7,13,0,2,0,13
"chr8_16632242_16632810",41,18,8,0,2,8,11,12,0,1,0,13
"chr8_17026693_17027290",18,9,6,2,3,5,3,7,0,3,0,11
"chr8_17155696_17156478",74,88,19,0,13,25,27,29,0,8,1,41
"chr8_17203498_17204033",24,20,5,0,4,10,4,4,0,1,0,6
"chr8_17246407_17247426",134,74,40,2,25,71,38,69,1,15,3,83
"chr8_17264912_17265809",63,43,14,0,8,24,7,16,0,3,1,21
"chr8_17362439_17363466",18,13,6,3,7,20,4,5,1,3,0,13
"chr8_17390565_17391084",20,12,4,0,5,7,3,6,0,2,0,8
"chr8_17630357_17631147",42,25,9,1,18,27,9,19,0,4,0,32
"chr8_17801030_17801837",10,12,9,0,8,15,4,11,0,2,0,22
"chr8_17907407_17908153",56,42,18,1,15,29,16,23,0,5,0,30
"chr8_17915980_17916668",59,38,18,1,7,24,8,22,0,6,0,31
"chr8_17922327_17923091",158,96,44,0,32,76,42,68,0,13,2,90
"chr8_18083080_18083654",50,31,12,0,11,24,12,21,0,4,1,35
"chr8_18083810_18084670",122,79,27,1,16,55,31,54,0,12,2,59
"chr8_18196802_18197787",25,12,6,0,7,16,10,14,0,3,0,13
"chr8_18209732_18210367",140,95,35,1,20,54,30,47,1,11,1,64
"chr8_18747752_18748266",15,12,4,1,4,9,7,11,1,1,0,7
"chr8_19696176_19696816",25,17,11,0,8,15,6,14,0,4,0,19
"chr8_19697717_19698287",18,14,9,0,6,18,3,13,0,2,0,17
"chr8_19757620_19758198",10,7,4,0,6,13,2,8,0,3,0,10
"chr8_19816930_19817609",56,34,29,0,24,55,22,48,0,9,1,60
"chr8_19886707_19887213",12,7,4,0,3,9,1,4,0,1,0,8
"chr8_19938879_19940334",22,20,11,0,19,29,2,13,0,4,1,23
"chr8_20189055_20189610",13,11,5,0,6,9,5,9,1,2,0,11
"chr8_20196913_20197642",26,32,11,0,18,31,17,28,0,4,0,40
"chr8_21508947_21509736",31,23,14,0,16,31,7,19,0,4,0,26
"chr8_21672317_21672817",8,12,4,0,7,16,5,7,0,1,1,9
"chr8_21857770_21858828",25,25,13,1,18,30,9,26,1,3,0,27
"chr8_21908762_21909545",9,10,6,2,12,23,5,12,1,4,0,18
"chr8_21919311_21919849",15,17,5,1,14,22,6,15,0,3,0,32
"chr8_21959866_21960410",8,12,6,4,5,10,1,7,1,0,0,12
"chr8_22010026_22010783",26,18,11,0,16,35,8,21,0,5,0,24
"chr8_22109146_22109963",24,29,21,4,19,35,20,36,1,5,0,39
"chr8_22141151_22142252",23,17,7,1,14,27,9,22,0,3,1,32
"chr8_22244506_22245433",45,29,19,2,21,44,19,44,0,6,0,62
"chr8_22440685_22441573",20,19,11,1,11,34,13,22,1,3,0,29
"chr8_22579803_22580699",18,16,9,1,11,24,6,13,1,2,2,24
"chr8_22604340_22604964",32,24,14,0,15,37,15,31,1,8,1,37
"chr8_22668524_22669356",19,12,6,2,13,23,7,15,2,2,0,30
"chr8_22704815_22705421",26,19,8,1,17,24,9,13,2,4,0,23
"chr8_22715475_22716108",22,15,10,2,18,27,10,25,0,6,0,33
"chr8_22974010_22974622",14,13,11,3,9,20,5,12,1,2,0,18
"chr8_23068600_23069502",15,8,7,1,10,27,6,13,0,6,0,27
"chr8_23074316_23075115",34,21,13,1,23,35,10,22,0,4,2,39
"chr8_23163317_23164308",26,18,9,4,19,35,6,27,0,8,0,31
"chr8_23224624_23225449",27,24,10,1,18,42,12,25,1,7,0,41
"chr8_23246232_23247148",77,56,30,1,34,52,35,65,0,14,3,98
"chr8_23287337_23288423",21,14,8,3,14,26,8,19,1,5,0,28
"chr8_23457368_23458047",17,12,9,1,12,24,12,19,0,3,0,19
"chr8_23525113_23525684",20,14,6,1,8,17,4,10,1,0,0,14
"chr8_23528476_23529151",33,28,17,0,18,28,12,23,1,5,1,42
"chr8_23538856_23539452",15,9,7,0,6,18,4,6,1,1,0,8
"chr8_23540788_23541858",20,13,10,4,15,35,9,11,1,5,0,30
"chr8_23991315_23991921",15,11,5,1,8,19,7,9,0,1,0,10
"chr8_24033189_24033734",43,27,14,1,8,19,10,16,1,4,0,25
"chr8_24349581_24350137",19,14,4,0,6,10,6,8,1,2,0,11
"chr8_25171232_25171758",12,9,4,1,3,7,2,3,0,1,1,8
"chr8_25184789_25185727",16,17,10,1,14,18,7,15,0,3,0,19
"chr8_25198762_25199448",19,14,9,1,9,16,7,14,0,2,0,10
"chr8_25243607_25244112",19,22,6,1,13,16,7,12,0,2,0,22
"chr8_25458330_25459047",204,138,76,0,64,123,74,150,0,31,6,186
"chr8_26088655_26089493",11,6,6,1,8,13,5,8,1,2,0,16
"chr8_26133731_26134590",47,26,12,4,18,40,9,35,1,7,1,33
"chr8_26290943_26292169",32,15,14,3,13,25,10,18,0,5,0,33
"chr8_26382585_26383560",89,49,32,0,27,67,29,70,0,10,2,86
"chr8_26440584_26441284",23,12,6,2,11,15,6,13,0,2,1,25
"chr8_26577482_26578167",30,21,13,1,20,25,16,24,0,5,0,25
"chr8_27310600_27311783",69,45,25,2,21,40,20,49,1,6,2,62
"chr8_27326367_27327024",24,12,9,2,7,15,5,13,3,2,0,18
"chr8_27334464_27335048",15,10,6,2,11,16,4,13,0,3,0,15
"chr8_27363620_27364176",32,23,13,0,13,32,12,24,0,3,1,33
"chr8_27389745_27390320",17,12,5,1,10,17,4,7,1,3,0,13
"chr8_27408768_27409390",14,14,7,0,6,16,5,9,0,0,0,14
"chr8_27772359_27772888",14,12,5,1,8,19,7,6,0,3,0,23
"chr8_27774084_27774780",44,24,15,2,21,38,21,37,0,7,0,42
"chr8_27827493_27828026",9,8,3,1,5,9,4,3,1,2,0,9
"chr8_28092846_28093414",27,17,14,2,13,26,9,18,0,2,0,24
"chr8_28400989_28401514",19,17,9,0,9,27,8,15,0,3,0,26
"chr8_28401674_28402360",42,32,17,0,19,31,16,41,0,7,0,51
"chr8_28622109_28622709",30,16,17,1,20,29,18,25,1,4,1,42
"chr8_28889798_28890491",112,87,50,0,53,84,57,103,0,14,2,112
"chr8_29350183_29351302",32,23,14,3,23,36,12,31,4,9,0,50
"chr8_29490245_29490851",23,15,9,0,16,26,6,14,0,2,0,18
"chr8_29583549_29584825",19,23,10,5,23,32,9,18,2,6,1,26
"chr8_29752115_29752885",12,11,5,1,9,19,4,7,0,2,0,11
"chr8_29773277_29774372",58,45,26,0,31,53,18,38,0,11,1,59
"chr8_29999205_29999712",11,7,4,0,4,8,2,3,0,2,0,5
"chr8_30082535_30083424",62,50,31,1,34,52,32,61,2,10,0,74
"chr8_30555752_30556723",23,12,9,4,26,36,7,17,2,2,0,21
"chr8_30657839_30658587",51,43,26,1,16,33,23,46,0,6,1,51
"chr8_30720020_30720544",16,15,6,0,4,10,4,7,0,3,0,7
"chr8_30722716_30723348",54,36,18,0,16,30,16,26,0,5,0,35
"chr8_30727537_30728277",38,28,17,1,18,36,16,30,0,6,0,34
"chr8_30743700_30744621",27,19,14,2,12,24,15,22,1,5,1,20
"chr8_30812592_30813205",24,17,7,1,12,22,10,14,0,4,0,19
"chr8_30911733_30912420",28,19,11,0,8,15,5,12,0,4,1,18
"chr8_30923407_30924180",22,14,8,0,6,14,6,8,0,1,1,14
"chr8_31033322_31034250",50,35,17,2,27,38,27,39,1,9,0,47
"chr8_31034491_31035064",12,16,7,1,4,7,3,8,1,1,0,9
"chr8_31721946_31722473",22,11,5,1,4,11,8,10,1,1,0,13
"chr8_31833406_31834035",40,34,11,2,4,11,6,14,1,2,0,10
"chr8_31841046_31841584",26,18,4,2,4,4,1,7,0,2,0,6
"chr8_31889777_31890281",16,6,3,0,3,9,3,4,0,0,0,6
"chr8_32331526_32332234",9,8,5,1,7,9,6,4,0,0,0,8
"chr8_32487038_32487599",27,15,5,0,3,8,3,8,0,3,0,14
"chr8_32574944_32575561",76,42,23,1,8,31,11,24,1,6,1,26
"chr8_32582472_32583072",23,11,4,0,1,6,2,6,0,2,0,8
"chr8_32927596_32928307",47,27,12,1,13,23,14,24,0,6,1,21
"chr8_32994556_32995134",19,13,7,3,3,11,4,9,0,1,0,10
"chr8_33472668_33473491",79,54,26,0,22,46,16,46,0,14,1,51
"chr8_33484621_33485407",90,57,37,0,17,49,23,50,0,9,1,64
"chr8_33512915_33513985",104,57,22,1,30,63,31,63,0,12,1,74
"chr8_33515998_33516280",19,11,4,0,4,10,6,14,0,1,0,15
"chr8_33524621_33525233",86,54,36,0,14,26,16,28,0,4,0,31
"chr8_33533507_33534008",14,5,4,0,3,18,2,10,0,1,0,12
"chr8_33553974_33554538",27,16,7,0,11,14,5,10,0,2,0,17
"chr8_33554692_33555269",27,17,5,1,12,17,4,12,0,5,0,19
"chr8_33566024_33566820",33,18,7,2,13,17,6,11,2,4,0,19
"chr8_33566891_33567464",26,7,10,3,8,14,7,16,1,4,0,20
"chr8_33590802_33591407",13,8,5,0,5,4,3,7,0,1,0,14
"chr8_33599271_33599993",18,8,5,0,11,13,3,9,0,1,0,16
"chr8_33805610_33806176",22,16,4,0,4,13,6,19,1,4,0,15
"chr8_33867086_33867632",29,14,5,0,4,10,7,11,1,3,0,11
"chr8_34767184_34767688",25,17,5,1,4,12,8,16,0,1,0,11
"chr8_34769160_34769747",35,28,9,0,4,14,10,14,1,3,0,17
"chr8_34781306_34781910",14,6,5,1,6,11,2,5,0,1,0,13
"chr8_34837493_34838111",30,22,10,1,6,12,4,14,1,1,0,13
"chr8_34840435_34841173",31,23,7,0,4,18,4,11,0,4,0,18
"chr8_35152153_35152731",21,8,5,0,4,8,5,13,0,2,0,14
"chr8_35337924_35338472",41,33,11,1,5,11,7,13,1,1,0,10
"chr8_35595368_35596082",8,6,6,0,7,10,3,7,0,1,1,8
"chr8_35867648_35868235",43,29,12,0,5,11,11,17,0,4,0,20
"chr8_37321019_37321568",15,9,6,0,7,13,3,10,0,2,1,10
"chr8_37551042_37551939",28,18,7,1,8,18,3,14,0,3,1,14
"chr8_37574245_37574834",15,11,7,1,5,11,8,11,0,0,0,13
"chr8_37591310_37592021",28,11,5,0,6,23,11,16,0,4,1,21
"chr8_37691188_37691749",13,7,5,3,7,14,4,6,3,1,0,10
"chr8_37736161_37736902",81,45,24,0,29,36,24,49,0,9,2,55
"chr8_37737384_37738009",76,62,33,1,26,38,20,38,0,10,0,40
"chr8_37762281_37762865",70,54,27,1,22,53,23,53,1,10,2,60
"chr8_37849595_37850267",42,26,16,1,18,26,11,25,1,6,1,38
"chr8_37873416_37874360",24,17,6,0,7,23,5,11,0,4,0,16
"chr8_37880707_37881274",16,18,5,2,5,10,6,12,0,3,0,16
"chr8_37881729_37882375",27,21,10,0,17,21,10,22,0,5,0,29
"chr8_37899017_37899940",50,34,15,3,23,39,34,40,2,8,2,58
"chr8_37900183_37900827",40,32,11,1,19,31,16,29,1,6,1,37
"chr8_37915996_37916640",15,9,5,1,10,18,3,12,0,3,0,18
"chr8_38030257_38031703",77,42,28,3,24,53,15,45,1,10,0,45
"chr8_38104981_38106052",73,58,33,1,36,64,23,46,1,18,1,88
"chr8_38176272_38176995",58,44,22,2,20,44,17,39,1,9,2,51
"chr8_38181745_38182247",11,9,4,0,3,6,3,8,0,3,0,8
"chr8_38230821_38232143",34,36,15,1,18,43,9,27,2,4,1,45
"chr8_38268363_38269674",54,36,16,3,20,40,11,35,1,10,2,45
"chr8_38381740_38383097",34,29,21,1,30,45,17,36,0,7,1,50
"chr8_38385905_38386705",20,16,9,2,12,21,12,19,1,4,1,29
"chr8_38431159_38431699",21,15,6,1,10,18,7,13,1,2,0,17
"chr8_38468204_38468940",21,21,13,2,12,22,6,18,1,2,0,24
"chr8_38769857_38770766",64,34,19,4,21,27,19,34,0,9,0,37
"chr8_38786732_38787687",22,36,10,3,17,18,10,24,0,3,0,22
"chr8_38805165_38805748",56,29,13,0,14,27,16,30,1,7,1,32
"chr8_38846744_38847355",32,17,6,1,4,10,6,8,1,3,0,11
"chr8_38900160_38900682",22,11,6,0,6,12,4,10,0,2,0,15
"chr8_38913613_38914198",28,24,9,0,14,22,6,18,0,3,1,17
"chr8_38936511_38937215",101,66,39,1,30,50,29,51,1,15,1,75
"chr8_38938309_38938897",87,53,26,0,23,28,18,39,0,9,1,41
"chr8_38957371_38958014",55,32,13,0,12,18,17,27,0,5,0,30
"chr8_38966355_38966854",11,8,3,0,9,11,4,9,1,1,0,13
"chr8_38996280_38996966",272,162,83,0,45,109,121,189,0,36,3,179
"chr8_39006904_39007532",22,13,7,1,5,17,8,13,0,0,0,12
"chr8_39037956_39038549",25,13,5,0,7,16,5,10,0,4,1,13
"chr8_39471389_39471981",18,7,5,0,3,9,6,6,1,2,0,7
"chr8_40201683_40202188",10,10,4,0,3,11,5,9,0,1,0,9
"chr8_41250613_41251184",31,30,10,1,7,19,9,11,1,4,0,17
"chr8_41275987_41276695",26,18,9,1,11,18,8,16,0,2,0,17
"chr8_41490115_41490745",70,45,23,1,22,48,35,49,1,9,1,57
"chr8_41528841_41529494",102,61,30,3,33,53,31,51,0,11,4,84
"chr8_41544686_41545245",19,18,10,2,6,16,4,11,2,3,0,17
"chr8_41577466_41578674",29,36,17,3,19,35,12,30,2,5,1,44
"chr8_41822557_41823246",11,9,6,0,9,14,3,6,0,0,0,10
"chr8_41835898_41836714",22,15,8,1,10,24,6,10,1,1,1,20
"chr8_42051853_42052739",41,25,11,1,12,20,14,35,1,9,0,38
"chr8_42152566_42153228",81,78,43,0,35,67,36,82,0,16,3,102
"chr8_42271015_42271603",12,11,6,1,9,16,5,10,0,3,0,16
"chr8_42292910_42293479",16,15,5,0,12,13,4,16,0,3,0,22
"chr8_42337895_42339110",28,19,9,2,18,29,12,23,1,4,0,31
"chr8_42391290_42392080",27,32,19,0,15,25,16,30,1,8,0,30
"chr8_42405833_42406387",9,12,5,1,6,8,3,10,0,1,0,10
"chr8_42540987_42542415",19,22,12,0,19,27,9,25,0,3,0,32
"chr8_42554983_42555595",21,13,6,0,7,12,8,9,0,3,0,14
"chr8_42842771_42843657",58,40,26,1,33,52,20,35,0,13,1,61
"chr8_42896041_42897527",61,40,24,1,25,40,25,47,1,10,1,69
"chr8_43055751_43056784",50,53,16,4,20,35,19,44,1,8,0,46
"chr8_43092935_43094103",44,30,12,71,26,35,14,36,29,9,2,50
"chr8_43139908_43141379",36,35,12,2,22,40,8,35,1,3,1,45
"chr8_46409916_46410500",25,20,9,0,9,21,8,25,0,6,0,25
"chr8_46840514_46841047",17,10,6,0,3,11,5,7,0,2,0,10
"chr8_46910832_46911356",14,9,6,0,14,9,4,4,1,1,0,14
"chr8_46956887_46957441",15,11,5,0,7,12,5,12,0,2,1,16
"chr8_47179506_47180544",45,29,14,0,16,28,7,29,0,3,0,26
"chr8_47260542_47261277",23,27,11,0,17,24,8,16,0,3,0,25
"chr8_47369265_47369804",44,31,17,0,9,23,10,23,0,4,1,29
"chr8_47471817_47472354",7,5,5,0,2,9,4,1,1,0,0,6
"chr8_47479444_47480030",14,10,4,0,6,12,5,8,0,1,0,8
"chr8_47600597_47601127",43,37,15,1,8,30,18,25,0,3,0,23
"chr8_47676560_47677173",18,19,12,1,7,15,4,10,1,3,0,13
"chr8_47738307_47738806",11,9,6,1,9,9,2,12,1,1,1,14
"chr8_47869364_47870145",7,12,6,1,8,15,2,7,0,0,0,13
"chr8_47959984_47961129",69,64,32,0,31,48,30,62,0,5,1,72
"chr8_48008078_48008877",25,24,12,0,18,29,14,21,0,3,0,33
"chr8_48318656_48319273",35,17,6,1,10,21,10,17,0,2,1,19
"chr8_48651134_48651714",23,26,7,2,7,13,5,5,2,4,1,8
"chr8_48652830_48653401",38,21,10,0,5,18,9,18,0,1,0,18
"chr8_48694646_48695294",22,14,7,2,5,16,6,10,2,3,0,13
"chr8_48695614_48696125",16,16,6,0,7,13,4,8,0,1,0,7
"chr8_48921571_48922268",15,10,5,0,5,14,5,11,0,2,1,15
"chr8_48925509_48926085",26,19,6,0,7,15,8,16,0,6,0,15
"chr8_49301031_49301547",18,12,5,0,3,9,5,7,0,3,0,13
"chr8_49366686_49367372",137,86,33,2,7,25,15,27,1,6,0,29
"chr8_49795409_49796006",41,26,8,0,5,14,6,11,0,4,0,12
"chr8_50001386_50001994",45,22,7,0,3,17,12,14,0,4,1,18
"chr8_50056327_50056914",74,38,14,0,5,16,17,22,0,7,0,27
"chr8_50398089_50398610",19,8,5,1,1,9,4,12,0,3,0,10
"chr8_50447868_50448410",51,27,9,0,6,14,19,24,0,3,0,19
"chr8_50852766_50853278",21,15,6,0,2,6,7,11,1,3,0,14
"chr8_51345631_51346207",16,10,6,0,5,12,9,8,0,1,0,8
"chr8_51898822_51899591",154,82,42,0,32,63,42,75,0,18,1,98
"chr8_51953886_51954777",40,37,12,1,6,21,4,9,0,1,0,20
"chr8_51961656_51962894",61,41,12,0,12,25,7,18,1,6,0,30
"chr8_52000196_52000729",32,16,7,0,4,14,5,10,0,2,0,15
"chr8_52008327_52008933",43,32,18,0,12,26,14,30,0,7,1,36
"chr8_52460091_52460617",9,5,4,1,3,9,3,3,0,0,0,7
"chr8_52466991_52467501",19,11,5,1,5,11,5,6,0,2,0,12
"chr8_52713993_52714829",84,54,23,0,19,42,19,46,0,12,2,61
"chr8_53152106_53152615",10,11,4,1,6,10,3,5,0,2,0,11
"chr8_53176561_53177634",114,71,35,1,20,41,22,44,1,8,0,57
"chr8_53842806_53843764",48,33,16,0,16,32,12,26,0,6,1,30
"chr8_53944759_53945374",48,38,18,1,11,18,10,17,1,4,1,25
"chr8_54022015_54022642",50,29,14,0,14,25,11,28,0,3,0,31
"chr8_54101403_54102395",49,45,22,0,17,33,30,44,0,5,1,46
"chr8_54134681_54135509",33,28,11,1,17,26,9,16,1,3,0,24
"chr8_54152861_54153855",44,32,11,1,14,30,13,33,0,11,1,41
"chr8_54165496_54166277",17,9,6,1,10,14,4,6,0,2,0,11
"chr8_54169210_54169785",10,11,4,0,5,9,4,9,0,1,0,12
"chr8_54181007_54181667",12,5,4,3,4,8,3,1,1,3,0,13
"chr8_54268733_54269345",57,38,15,0,12,24,10,31,0,2,0,22
"chr8_54629307_54629851",12,11,3,2,4,8,4,4,2,3,0,10
"chr8_54744013_54744612",23,17,5,0,6,15,7,21,0,4,0,18
"chr8_54774956_54775495",30,17,6,1,5,10,5,10,1,3,0,9
"chr8_55102756_55103262",23,10,5,0,9,14,5,11,0,2,0,9
"chr8_55568300_55568842",21,13,5,0,6,14,5,11,0,4,2,12
"chr8_55624703_55625417",18,9,7,1,7,10,4,11,1,4,0,14
"chr8_55772562_55773717",110,74,35,1,25,51,27,54,0,11,3,67
"chr8_55844030_55844626",27,19,8,1,11,19,4,13,0,4,0,20
"chr8_55879497_55880058",15,22,9,1,14,16,6,12,1,4,0,19
"chr8_55885428_55886083",60,39,14,2,17,40,15,30,0,7,1,31
"chr8_55919411_55919984",22,13,5,0,11,15,2,13,0,5,0,21
"chr8_55930291_55930963",47,31,14,2,15,30,10,24,1,4,0,30
"chr8_55939711_55940400",18,12,6,1,10,13,6,8,0,2,0,11
"chr8_55972716_55973532",18,23,10,3,8,18,7,17,1,3,0,16
"chr8_55990959_55991613",32,26,13,1,13,26,9,22,0,2,0,26
"chr8_56074231_56074929",68,53,24,3,29,50,28,57,0,12,1,69
"chr8_56211037_56212069",62,41,23,1,30,49,40,69,1,11,1,85
"chr8_56401033_56401662",27,21,6,0,8,16,8,9,0,1,0,18
"chr8_56447786_56448286",12,5,4,1,10,20,2,11,0,2,0,8
"chr8_56558731_56559370",30,16,4,3,13,18,7,15,1,2,0,21
"chr8_56559768_56560341",17,14,6,2,7,17,4,7,0,2,0,10
"chr8_56757489_56757988",13,11,2,1,7,12,1,12,0,3,0,13
"chr8_56993601_56994344",20,11,7,1,9,16,5,12,1,1,1,18
"chr8_57861908_57862476",13,14,5,0,8,14,4,6,0,1,0,16
"chr8_58145710_58146416",36,32,12,0,13,31,10,22,1,4,0,29
"chr8_58172465_58173289",62,35,17,4,21,32,6,26,2,5,0,42
"chr8_58396651_58397654",21,24,8,1,14,18,5,19,0,1,0,21
"chr8_58411069_58411834",23,21,10,1,19,25,12,20,0,5,1,26
"chr8_58513163_58513662",8,4,4,0,8,8,3,5,1,1,0,6
"chr8_58552695_58553698",39,29,17,1,18,39,15,28,0,8,0,33
"chr8_58563701_58564326",32,25,8,0,5,16,8,8,0,2,0,13
"chr8_58595773_58596359",49,31,17,1,18,33,10,29,0,6,1,28
"chr8_58632070_58632569",10,6,4,0,6,9,1,4,0,0,0,9
"chr8_58658711_58660010",48,48,12,1,27,42,16,33,0,9,2,49
"chr8_58801289_58801906",23,22,4,0,7,13,6,9,0,2,0,13
"chr8_58881772_58882320",35,30,8,2,9,18,7,13,0,4,0,18
"chr8_58898272_58898773",8,5,4,0,5,9,4,2,0,1,0,9
"chr8_59043674_59044309",35,21,9,0,4,13,5,11,1,3,1,14
"chr8_59260762_59261293",13,9,6,1,4,7,3,4,0,0,0,8
"chr8_59300876_59301402",14,5,3,0,3,7,2,4,0,0,0,4
"chr8_60217785_60218382",12,7,8,0,8,10,5,9,0,2,0,11
"chr8_60280566_60281648",51,36,18,1,21,36,15,28,1,6,1,35
"chr8_60516554_60517467",48,46,24,0,25,51,20,58,0,9,0,69
"chr8_60583759_60584339",19,11,6,0,5,17,4,4,0,3,0,10
"chr8_60651663_60652622",53,71,25,1,27,41,28,56,0,10,1,81
"chr8_60678306_60679293",21,28,10,0,16,34,14,25,0,3,0,36
"chr8_60792819_60793417",15,10,5,2,5,16,4,8,0,2,0,15
"chr8_60807692_60808239",12,8,5,0,9,12,2,4,1,4,0,8
"chr8_60885493_60886114",37,23,7,0,10,21,7,19,0,4,0,19
"chr8_60908797_60909423",15,10,7,0,12,18,4,12,0,0,0,13
"chr8_60911438_60912150",36,25,11,3,10,25,10,22,1,8,0,31
"chr8_60926375_60926952",29,20,11,0,10,23,7,14,1,2,0,18
"chr8_60927187_60927900",15,9,7,2,3,13,3,8,1,0,0,10
"chr8_60950809_60951503",36,33,16,0,18,26,8,23,0,6,0,24
"chr8_60998955_60999550",35,25,12,2,12,22,8,27,0,4,0,29
"chr8_61004346_61005006",15,16,5,2,9,14,6,9,0,0,1,15
"chr8_61044501_61045104",25,16,6,1,9,18,5,9,0,1,0,13
"chr8_61313710_61314213",19,11,3,1,7,13,6,13,0,4,0,11
"chr8_61366898_61367410",9,6,3,1,4,10,5,3,0,3,0,8
"chr8_61468661_61469192",16,8,4,0,6,10,4,7,1,2,0,14
"chr8_61657122_61657684",35,27,10,1,7,12,4,10,0,1,0,17
"chr8_61700005_61700543",15,5,6,0,6,14,6,6,1,3,0,10
"chr8_61714283_61714985",108,75,50,1,27,49,32,71,0,14,0,81
"chr8_61731453_61731986",23,18,8,0,5,11,7,9,0,2,0,14
